ts	secs_req	secs_actual	rc	input	leftover	gfx_total	gfx_rate	log	env
2026-08-18T18:38:10+10:00	8	8	0	0	0	191	28	rl.log	SNP_HEARTBEAT=1
2026-08-18T18:41:11+10:00	60	60	0	0	0	610	1	rep1.log	SNP_WALK=1 SNP_WALK_FRAMED=1 SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T18:42:12+10:00	60	60	0	0	0	384	1	rep2.log	SNP_WALK=1 SNP_WALK_FRAMED=1 SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T18:43:14+10:00	60	60	0	0	0	342	3	rep3.log	SNP_WALK=1 SNP_WALK_FRAMED=1 SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T18:47:51+10:00	90	90	0	0	0	NA	NA	old.log	SNP_HEARTBEAT=1
2026-08-18T18:55:45+10:00	25	25	0	0	0	700	30	CLEAN	v1.log	SNP_HEARTBEAT=1
2026-08-18T18:56:09+10:00	12	12	0	0	0	NA	NA	UNKNOWN(no SNP_HEARTBEAT)	v2.log	none
2026-08-18T18:56:19+10:00	12	9	139	2	0	161	30	CONTAMINATED	v3.log	SP_INPUT_SCRIPT=/tmp/claude-1000/-home-joh-Documents-guitar/05216b74-46e4-451b-b861-000cb521b068/scratchpad/in.txt SNP_HEARTBEAT=1
2026-08-18T19:00:30+10:00	60	60	0	0	0	770	2	DEGRADED	n1.log	SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T19:01:31+10:00	60	60	0	0	0	1734	13	DEGRADED	n2.log	SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T19:02:32+10:00	60	60	0	0	0	307	3	DEGRADED	n3.log	SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T19:03:56+10:00	45	45	0	0	0	372	2	DEGRADED	win.log	SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T19:05:58+10:00	45	45	0	0	0	1304	30	CLEAN	m1.log	SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T19:06:45+10:00	45	45	0	0	0	1303	30	CLEAN	m2.log	SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T19:07:31+10:00	45	45	0	0	0	294	2	DEGRADED	m3.log	SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T19:08:43+10:00	45	45	0	0	0	1302	30	CLEAN	x1.log	DISPLAY=:7 SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T19:09:30+10:00	45	45	0	0	0	1301	30	CLEAN	x2.log	DISPLAY=:7 SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T19:10:43+10:00	45	45	0	0	0	1301	30	CLEAN	x3.log	DISPLAY=:7 SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T19:12:00+10:00	40	40	0	0	0	1152	30	CLEAN	iso1.log	SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T19:17:18+10:00	90	90	0	38	0	2650	30	CONTAMINATED	adv.log	SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T19:21:40+10:00	60	60	0	0	0	1753	30	CLEAN	A1b.log	SNP_WALK=1 SNP_WALK_FRAMED=1 SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
2026-08-18T19:22:43+10:00	60	60	0	0	0	1750	30	CLEAN	A2b.log	SNP_WALK=1 SNP_WALK_FRAMED=1 SNP_HEARTBEAT=1 SNP_STACK_RELOC=4
